	Pro1	Pro2	Pro3	R2F01	R2F16
PB.814.435	5	3	1	3	5
PB.814.436	23	3	3	28	3
PB.814.437	5	3	1	3	2
PB.814.444	20	5	6	7	2
PB.814.510	62	10	24	73	13
PB.814.515	8	3	1	8	2
PB.817.2	180	45	73	184	191
PB.817.3	6	3	6	7	2
PB.817.6	17	10	13	16	14
PB.817.7	5	5	2	9	2
PB.817.26	3	1	2	3	4
PB.846.1	28	9	5	11	8
PB.846.3	25	7	6	9	6
PB.846.5	9	4	3	5	2
PB.846.7	10	12	9	2	10
PB.846.42	21	13	8	9	4
PB.846.46	51	30	10	25	36
PB.846.97	7	4	1	6	5
PB.846.113	2	1	1	1	2
PB.854.64	10	10	12	11	8
PB.854.75	5	1	1	1	1
PB.854.93	18	7	6	20	8
PB.854.107	12	6	4	18	7
PB.854.121	26	14	16	38	22
PB.854.166	4	1	2	8	2
PB.854.179	1	1	1	1	1
PB.854.208	9	13	2	14	13
PB.854.239	7	4	1	6	3
PB.854.251	2	1	1	1	2
PB.854.271	6	3	1	7	2
PB.860.2	7	5	1	5	1
PB.860.6	10	1	1	3	4
PB.860.8	12	2	7	6	11
PB.860.9	2	1	2	2	1
PB.860.10	11	12	8	11	15
PB.860.11	5	1	2	1	2
PB.860.21	4	2	1	2	6
PB.860.26	4	4	1	9	6
PB.860.42	17	10	2	14	16
PB.860.51	20	2	4	3	9
PB.860.54	2	1	1	1	2
PB.860.76	1	3	1	3	2
PB.860.78	13	7	2	13	4
PB.860.92	13	7	1	7	13
PB.860.110	15	2	4	2	3
PB.860.116	5	2	1	8	2
PB.860.138	8	2	1	4	4
PB.860.166	3	1	1	1	2
PB.860.169	7	2	1	5	3
PB.860.177	23	6	5	12	10
PB.860.225	10	4	1	12	13
PB.860.240	13	5	3	13	12
PB.860.244	7	1	1	5	4
PB.860.246	5	1	1	1	1
PB.860.260	3	1	1	2	1
PB.860.263	3	1	1	3	9
PB.860.313	14	5	3	16	5
PB.860.364	13	4	3	9	6
PB.860.393	8	4	1	13	7
PB.860.405	14	4	5	17	10
PB.860.434	1	3	1	2	1
PB.860.440	9	2	1	10	3
PB.860.456	7	7	1	13	7
PB.860.463	9	5	5	31	8
PB.860.547	5	2	2	11	2
PB.860.577	5	1	2	3	2
PB.860.583	26	9	3	48	49
PB.860.589	13	5	2	17	5
PB.860.590	40	11	3	56	26
PB.860.601	4	1	1	2	6
PB.860.607	5	6	1	19	15
PB.860.640	35	8	7	31	32
PB.860.648	4	2	2	7	9
PB.860.674	7	1	1	6	5
PB.860.688	8	2	2	5	4
PB.860.701	34	8	3	55	56
PB.860.724	3	6	2	11	8
PB.860.729	2	1	1	3	1
PB.860.757	2	3	1	5	1
PB.860.763	16	4	1	37	16
PB.860.792	8	1	4	14	4
PB.860.821	4	1	2	2	1
PB.860.827	9	4	2	8	2
PB.860.841	19	7	7	32	22
PB.860.845	13	3	1	14	13
PB.860.856	11	2	1	2	10
PB.860.861	3	1	1	6	6
PB.860.868	24	5	2	28	17
PB.860.875	1	1	3	7	10
PB.860.883	14	4	2	8	7
PB.860.885	21	4	4	33	21
PB.860.886	3	1	2	1	1
PB.860.912	19	9	4	31	9
PB.860.930	7	3	5	22	9
PB.860.949	4	3	3	10	7
PB.860.955	7	7	3	6	11
PB.860.962	23	2	3	25	16
PB.860.979	29	13	16	50	48
PB.860.1002	5	6	1	7	3
PB.860.1015	1	1	1	2	7
PB.860.1016	5	4	1	4	3
PB.860.1037	1	2	1	2	2
PB.866.1	203	104	58	158	77
PB.866.2	197	54	25	76	27
PB.866.9	6	3	2	1	5
PB.866.57	8	4	1	6	1
PB.866.73	66	17	13	27	13
PB.866.78	27	4	5	3	5
PB.868.30	351	98	49	293	104
PB.868.46	3	3	3	1	2
PB.868.146	2	1	2	5	2
PB.868.202	3	1	1	3	2
PB.868.207	17	1	2	10	4
PB.868.222	3	1	1	3	2
PB.868.236	20	2	6	42	2
PB.868.252	6	2	1	1	2
PB.894.1	4	6	2	19	52
PB.910.9	6	3	3	13	4
PB.911.1	36	13	7	5	4
PB.925.6	17	5	1	2	4
PB.935.1	8	8	4	9	8
PB.941.4	2	1	1	5	1
PB.941.6	20	10	4	26	9
PB.941.11	18	10	4	41	19
PB.941.23	7	4	2	9	2
PB.941.35	11	1	4	8	6
PB.942.1	46	29	4	50	46
PB.943.1	22	11	3	26	7
PB.970.4	6	2	3	17	9
PB.983.1	56	27	24	21	20
PB.983.2	21	12	10	4	11
PB.983.3	24	18	10	4	10
PB.983.5	46	18	33	18	21
PB.983.6	24	15	5	8	9
PB.983.15	21	8	5	2	1
PB.983.16	24	2	6	2	3
PB.983.17	2	1	1	1	2
PB.983.24	10	2	5	1	1
PB.983.58	6	1	1	2	2
PB.983.180	41	14	9	51	53
PB.983.181	11	6	3	10	6
PB.983.182	8	2	3	10	7
PB.983.183	14	4	2	9	12
PB.983.186	21	3	4	12	14
PB.983.189	7	3	7	11	5
PB.983.190	5	1	1	5	12
PB.983.192	14	3	3	2	4
PB.983.195	45	12	7	50	69
PB.983.203	16	3	1	5	8
PB.983.205	4	3	1	4	7
PB.983.225	1	2	1	2	2
PB.983.241	9	3	3	7	7
PB.983.266	6	3	1	7	4
PB.983.270	7	2	2	6	5
PB.983.282	3	3	1	3	5
PB.983.290	11	6	4	16	12
PB.983.300	6	5	2	12	8
PB.983.318	2	1	2	2	2
PB.983.329	4	1	1	4	3
PB.983.363	19	1	2	21	10
PB.983.367	18	8	2	15	10
PB.983.368	2	2	3	8	8
PB.983.370	33	13	8	59	27
PB.983.371	5	2	3	14	9
PB.983.378	5	1	1	3	19
PB.983.379	13	6	6	13	12
PB.983.381	17	7	10	23	39
PB.983.383	11	3	1	4	12
PB.983.384	47	24	2	37	46
PB.983.386	16	14	4	40	43
PB.983.388	8	2	1	1	6
PB.983.392	24	6	4	26	36
PB.983.404	16	7	4	18	3
PB.983.412	23	7	1	18	25
PB.983.417	12	5	2	7	7
PB.983.431	20	4	2	25	12
PB.983.448	19	8	1	29	29
PB.983.449	19	7	2	28	20
PB.983.478	3	7	1	7	8
PB.983.488	21	13	6	79	43
PB.983.494	9	2	1	2	4
PB.983.500	4	2	1	6	8
PB.983.529	1	1	1	3	1
PB.983.531	27	4	6	58	28
PB.983.535	20	3	2	20	18
PB.983.582	21	7	4	17	33
PB.983.590	22	9	2	19	36
PB.983.600	17	8	1	15	34
PB.983.603	19	2	2	7	9
PB.983.607	4	5	1	4	8
PB.983.608	36	12	14	55	57
PB.983.609	4	5	3	11	15
PB.983.614	6	1	1	6	1
PB.983.618	9	1	3	15	8
PB.983.629	11	4	1	24	12
PB.983.660	4	1	3	4	5
PB.983.675	4	7	5	21	32
PB.983.787	1	3	3	9	6
PB.983.800	4	2	1	10	3
PB.983.874	1	1	1	4	5
PB.983.942	3	1	3	10	10
PB.983.952	2	2	2	14	6
PB.983.954	7	1	1	21	15
PB.983.958	2	3	1	10	10
PB.983.979	9	3	1	4	20
PB.983.1033	1	1	1	2	4
PB.996.22	3	1	2	5	4
PB.996.27	12	7	7	42	23
PB.996.33	2	2	1	12	4
PB.996.50	5	3	6	7	3
PB.996.68	7	5	6	39	18
PB.1003.1	7	6	3	25	16
PB.1009.31	8	6	1	17	15
PB.1009.85	5	2	1	9	8
PB.1009.111	6	1	3	23	20
PB.1009.116	8	3	2	15	13
PB.1009.117	6	3	2	19	24
PB.1009.119	6	2	1	12	8
PB.1009.147	2	1	1	2	2
PB.1009.149	3	1	2	6	4
PB.1009.157	2	1	1	3	4
PB.1009.172	1	1	1	6	3
PB.1009.194	3	4	1	2	3
PB.1009.200	2	2	3	10	13
PB.1009.214	4	2	1	10	2
PB.1009.223	3	3	1	10	2
PB.1009.228	3	1	1	5	2
PB.1009.247	3	1	1	9	5
PB.1009.253	2	1	1	1	2
PB.1009.265	2	2	1	4	5
PB.1009.307	4	2	2	5	4
PB.1009.329	1	2	1	3	13
PB.1009.370	2	1	1	8	10
PB.1009.410	2	1	2	9	5
PB.1009.469	1	1	1	3	4
PB.1009.490	1	1	1	1	5
PB.1009.493	2	1	1	2	4
PB.1009.509	2	1	1	6	4
PB.1009.534	1	1	1	6	1
PB.1009.623	2	2	1	5	7
PB.1009.626	2	2	1	14	6
PB.1018.1	1	1	1	1	3
PB.1019.4	2	1	2	3	1
PB.1022.2	1	1	1	4	4
PB.1056.1	19	17	14	5	3
PB.1057.1	28	15	5	9	10
PB.1057.15	35	9	25	14	5
PB.1057.21	4	4	6	3	1
PB.1057.24	17	9	5	2	3
PB.1057.31	27	8	11	11	1
PB.1057.38	25	15	22	17	5
PB.1057.44	4	5	3	2	6
PB.1057.48	31	30	8	7	8
PB.1057.49	3	2	2	1	1
PB.1057.84	4	2	1	2	1
PB.1057.86	3	2	3	1	1
PB.1057.111	9	4	4	2	1
PB.1073.1	13	10	13	7	1
PB.1073.4	9	4	8	3	2
PB.1082.2	10	10	6	23	2
PB.1089.2	12	7	5	2	4
PB.1091.1	8	6	9	8	5
PB.1094.1	14	6	1	1	1
PB.1094.24	5	3	1	8	3
PB.1099.2	7	11	9	4	18
PB.1102.21	16	12	4	9	8
PB.1102.22	18	20	17	6	17
PB.1102.28	3	1	2	3	1
PB.1102.58	11	3	3	1	3
PB.1102.75	16	5	5	2	1
PB.1102.93	8	8	4	9	3
PB.1102.95	15	5	2	9	4
PB.1102.98	12	5	8	12	5
PB.1102.100	12	11	7	7	3
PB.1102.109	2	3	2	1	3
PB.1102.112	7	4	1	2	1
PB.1102.117	10	10	4	7	6
PB.1102.129	10	10	4	3	5
PB.1102.158	12	5	9	5	3
PB.1102.163	3	4	4	4	2
PB.1102.171	8	2	1	1	5
PB.1102.173	10	4	3	1	1
PB.1102.176	3	5	1	3	2
PB.1102.222	13	3	4	8	1
PB.1102.229	19	8	6	8	7
PB.1102.238	9	4	2	4	5
PB.1102.244	27	12	5	16	4
PB.1102.250	7	6	1	4	4
PB.1102.258	9	6	1	3	1
PB.1102.290	1	3	1	1	4
PB.1102.295	7	4	3	4	1
PB.1102.314	9	6	3	6	4
PB.1102.321	13	6	3	7	3
PB.1102.322	13	3	7	3	2
PB.1102.335	14	3	2	3	1
PB.1102.340	17	12	6	6	11
PB.1102.352	2	1	1	2	1
PB.1102.360	7	1	3	7	4
PB.1102.364	4	9	2	8	7
PB.1102.380	12	4	4	9	2
PB.1102.419	3	4	1	4	1
PB.1102.423	3	1	2	4	4
PB.1102.424	7	4	2	5	1
PB.1102.427	8	11	3	12	1
PB.1102.438	16	14	2	9	11
PB.1102.447	10	5	4	3	2
PB.1102.460	13	6	3	12	5
PB.1102.475	2	5	1	1	2
PB.1102.478	2	2	2	1	1
PB.1102.490	2	1	2	1	3
PB.1102.492	11	7	5	8	6
PB.1102.500	7	4	2	6	2
PB.1102.504	25	11	7	15	4
PB.1102.507	11	7	3	6	3
PB.1102.525	8	5	3	2	4
PB.1102.536	5	1	2	6	1
PB.1102.537	4	1	1	2	1
PB.1102.562	4	1	3	8	3
PB.1102.577	2	4	2	3	1
PB.1102.599	2	6	1	2	1
PB.1102.612	5	3	2	4	3
PB.1102.665	4	2	1	3	4
PB.1102.695	4	1	1	2	1
PB.1102.724	3	1	1	3	1
PB.1102.738	15	3	4	3	16
PB.1102.739	32	19	4	6	29
PB.1102.743	2	1	1	2	1
PB.1102.773	2	1	1	3	1
PB.1102.793	2	2	1	2	1
PB.1102.837	3	1	2	5	4
PB.1102.839	6	5	3	2	5
PB.1102.842	4	3	1	1	3
PB.1102.865	1	6	1	4	3
PB.1102.877	17	9	2	9	2
PB.1102.885	1	3	1	3	3
PB.1102.888	10	3	3	5	1
PB.1102.906	1	1	3	1	1
PB.1102.958	23	20	7	13	19
PB.1102.960	10	10	6	12	17
PB.1109.6	7	5	1	3	1
PB.1122.5	7	2	2	4	1
PB.1125.1	22	11	4	22	21
PB.1125.7	14	6	2	2	10
PB.1125.58	7	2	1	5	1
PB.1125.71	1	1	1	1	1
PB.1125.90	6	1	2	4	4
PB.1159.14	1	2	1	1	1
PB.1159.92	7	3	1	5	4
PB.1159.94	4	5	2	4	2
PB.1159.245	3	1	1	9	25
PB.1164.8	2	1	1	7	2
PB.1168.3	5	1	1	1	2
PB.1168.5	390	101	93	493	592
PB.1168.9	56	24	10	41	44
PB.1168.10	10	5	3	11	15
PB.1168.11	4	2	1	9	3
PB.1168.13	20	8	4	18	35
PB.1168.14	4	1	1	8	23
PB.1168.22	7	2	1	22	7
PB.1168.23	76	42	29	96	127
PB.1168.43	15	1	4	13	19
PB.1168.147	6	1	1	17	2
PB.1183.15	1	1	1	1	1
PB.1183.67	55	16	23	91	121
PB.1183.69	2	1	3	2	1
PB.1183.74	2	1	2	4	5
PB.1183.105	3	1	1	1	5
PB.1183.128	10	2	3	15	7
PB.1183.142	7	1	1	3	1
PB.1183.199	28	3	13	29	29
PB.1183.241	10	5	2	7	9
PB.1183.261	10	8	5	15	7
PB.1183.271	2	1	1	1	1
PB.1183.276	4	6	1	4	4
PB.1183.288	31	17	7	44	24
PB.1183.305	2	1	1	1	8
PB.1183.345	23	3	1	18	50
PB.1183.355	8	2	3	14	37
PB.1183.362	5	1	2	1	1
PB.1183.416	13	5	2	35	23
PB.1183.426	1	1	1	3	2
PB.1183.430	17	16	1	16	19
PB.1183.459	8	7	2	8	18
PB.1183.477	3	3	3	7	1
PB.1183.521	2	1	1	1	1
PB.1183.528	6	1	1	6	5
PB.1183.537	17	3	4	47	9
PB.1183.546	16	2	7	25	12
PB.1183.572	2	4	3	2	3
PB.1183.607	6	4	1	2	1
PB.1183.619	29	11	10	13	8
PB.1183.633	9	5	3	5	2
PB.1183.647	1	4	3	7	2
PB.1183.725	3	2	1	8	8
PB.1183.746	3	1	1	6	6
PB.1183.794	21	3	2	10	2
PB.1183.796	213	78	85	132	140
PB.1183.810	312	106	113	206	176
PB.1183.822	5	2	1	2	7
PB.1183.863	6	1	2	2	1
PB.1183.893	19	6	2	10	17
PB.1183.904	13	10	3	18	8
PB.1183.914	8	2	1	18	9
PB.1183.930	25	13	3	19	17
PB.1183.935	22	8	6	29	10
PB.1183.964	5	4	4	2	3
PB.1183.976	17	13	11	43	26
PB.1183.980	7	2	3	2	1
PB.1183.996	23	22	10	43	18
PB.1183.1000	9	3	4	4	3
PB.1183.1008	13	1	2	4	1
PB.1191.2	46	20	17	31	13
PB.1191.3	16	2	4	8	7
PB.1191.9	2	1	2	3	4
PB.1191.13	85	29	40	102	100
PB.1191.15	7	1	3	4	7
PB.1191.73	33	3	4	9	8
PB.1191.77	14	1	3	5	2
PB.1191.98	6	2	1	4	5
PB.1191.109	2	1	1	2	3
PB.1191.133	9	8	3	13	4
PB.1191.134	51	26	21	44	29
PB.1191.148	4	1	1	2	4
PB.1191.149	11	7	2	12	8
PB.1192.9	6	4	1	7	2
PB.1192.23	8	1	1	16	3
PB.1192.24	25	4	1	29	9
PB.1192.34	64	19	7	49	39
PB.1192.35	10	4	3	7	2
PB.1192.36	18	11	3	11	14
PB.1192.37	21	14	8	10	21
PB.1192.38	20	9	12	21	28
PB.1192.39	44	1	8	7	8
PB.1192.44	9	1	4	5	5
PB.1192.47	6	3	3	12	8
PB.1192.55	7	6	2	6	12
PB.1192.61	7	1	1	3	2
PB.1192.63	21	5	6	11	4
PB.1192.67	18	6	2	23	41
PB.1192.73	12	8	1	5	11
PB.1192.79	11	2	1	10	20
PB.1192.86	8	4	1	3	8
PB.1192.105	10	4	1	10	10
PB.1192.112	1	4	1	5	6
PB.1192.130	2	2	2	11	5
PB.1192.197	4	3	4	7	8
PB.1192.210	8	2	2	6	5
PB.1192.233	8	1	3	3	6
PB.1192.237	65	26	6	78	87
PB.1192.250	56	14	9	92	100
PB.1192.252	29	5	3	34	41
PB.1192.254	3	1	3	8	3
PB.1192.303	39	16	18	19	16
PB.1192.329	3	1	1	7	4
PB.1192.340	36	12	5	15	18
PB.1192.341	14	3	2	3	9
PB.1192.342	2	1	1	2	4
PB.1192.348	13	3	3	5	6
PB.1192.352	2	2	2	4	5
PB.1192.371	26	8	5	40	93
PB.1192.379	4	1	1	5	7
PB.1192.395	41	20	6	52	129
PB.1192.406	6	3	7	21	18
PB.1192.425	8	1	2	4	11
PB.1192.436	13	4	2	10	7
PB.1192.443	2	1	1	5	6
PB.1192.444	1	2	1	3	6
PB.1192.453	14	9	3	30	28
PB.1192.459	2	4	1	5	7
PB.1192.465	16	7	1	13	15
PB.1192.517	4	1	1	7	8
PB.1192.521	15	3	3	20	18
PB.1192.545	6	3	4	12	14
PB.1192.560	11	10	5	20	32
PB.1192.566	14	4	2	16	30
PB.1192.578	4	2	1	6	2
PB.1192.579	6	2	3	15	29
PB.1192.581	35	8	7	51	82
PB.1192.582	10	4	1	5	14
PB.1192.599	36	13	3	74	76
PB.1192.631	2	1	2	1	2
PB.1192.632	6	3	1	4	12
PB.1192.633	22	23	9	62	24
PB.1192.636	131	67	53	153	135
PB.1192.682	1	2	1	6	1
PB.1192.708	2	1	1	10	7
PB.1192.726	7	1	2	8	5
PB.1192.729	9	9	2	16	6
PB.1192.736	10	3	1	6	5
PB.1192.737	7	2	3	2	3
PB.1192.740	6	6	5	20	6
PB.1192.748	3	3	4	7	5
PB.1192.750	13	4	3	8	3
PB.1192.751	25	13	2	11	11
PB.1192.774	6	4	3	15	2
PB.1192.804	4	4	2	7	4
PB.1192.822	6	4	5	7	2
PB.1192.823	2	1	3	2	2
PB.1192.825	19	5	4	7	5
PB.1192.832	3	1	3	6	1
PB.1192.853	63	13	19	10	13
PB.1192.855	166	131	92	133	80
PB.1192.858	224	136	116	234	265
PB.1192.859	23	15	5	37	18
PB.1192.863	23	8	5	16	14
PB.1192.868	16	2	2	3	2
PB.1192.870	35	3	6	5	6
PB.1192.871	5	2	4	6	2
PB.1192.880	33	17	9	27	21
PB.1192.886	15	2	1	21	9
PB.1192.889	1	3	3	4	2
PB.1192.891	9	6	4	13	7
PB.1192.897	13	1	3	2	2
PB.1192.905	2	4	1	4	6
PB.1192.916	19	18	2	22	10
PB.1192.919	4	2	4	7	6
PB.1192.920	9	5	4	6	2
PB.1192.946	2	1	1	1	1
PB.1192.969	47	19	52	33	10
PB.1192.970	29	4	33	9	2
PB.1192.972	20	6	12	15	12
PB.1192.983	1	3	2	2	3
PB.1192.987	2	2	1	1	1
PB.1192.994	1	3	3	1	2
PB.1192.1003	2	2	4	5	2
PB.1192.1021	18	11	5	35	6
PB.1192.1023	3	4	3	3	2
PB.1192.1040	2	1	5	2	1
PB.1192.1041	6	1	6	4	6
PB.1192.1049	10	6	3	9	7
PB.1192.1054	4	1	3	1	1
PB.1192.1192	5	1	3	4	1
PB.1192.1291	18	11	1	19	2
PB.1192.1298	15	3	2	18	2
PB.1192.1313	17	11	2	5	14
PB.1192.1334	1	2	1	1	2
PB.1192.1335	7	4	1	7	4
PB.1192.1443	2	1	1	6	3
PB.1192.1450	6	1	1	2	1
PB.1192.1462	18	13	4	30	29
PB.1192.1505	2	2	1	1	4
PB.1192.1528	34	10	3	22	22
PB.1192.1529	6	1	2	2	1
PB.1192.1541	10	2	1	17	4
PB.1192.1542	21	5	2	5	5
PB.1192.1559	12	1	3	5	6
PB.1192.1581	1	1	1	2	1
PB.1192.1590	4	6	1	6	10
PB.1192.1598	1	1	1	4	5
PB.1192.1612	44	19	8	26	16
PB.1192.1615	8	1	2	2	7
PB.1192.1616	17	1	3	11	8
PB.1192.1617	105	35	15	64	75
PB.1192.1619	15	6	3	20	9
PB.1192.1624	7	7	2	5	3
PB.1192.1626	10	5	2	11	2
PB.1192.1627	15	3	2	4	4
PB.1192.1628	8	3	4	19	15
PB.1192.1631	23	11	3	16	9
PB.1192.1633	7	2	1	3	2
PB.1192.1640	33	5	5	25	21
PB.1192.1642	14	2	5	2	13
PB.1192.1645	13	5	2	3	6
PB.1192.1646	1	1	1	1	1
PB.1192.1651	7	2	1	14	6
PB.1192.1652	9	6	1	8	11
PB.1192.1675	10	4	2	11	10
PB.1192.1695	17	10	5	22	40
PB.1192.1699	35	14	7	58	39
PB.1192.1729	8	1	1	3	3
PB.1192.1753	5	1	1	6	1
PB.1192.1816	12	10	1	10	13
PB.1192.1817	48	12	7	24	23
PB.1192.1818	133	69	20	192	198
PB.1192.1829	9	1	1	4	11
PB.1192.1916	18	8	1	21	8
PB.1192.1938	2	1	1	4	1
PB.1192.1957	5	1	1	4	8
PB.1192.1960	25	3	4	14	21
PB.1192.1962	5	2	2	7	2
PB.1192.2004	3	3	1	3	4
PB.1192.2018	15	2	2	9	4
PB.1192.2020	11	1	4	10	7
PB.1192.2029	20	3	2	12	13
PB.1192.2046	21	4	3	8	8
PB.1192.2050	29	6	7	39	19
PB.1192.2057	11	2	2	8	7
PB.1192.2058	49	17	4	43	33
PB.1192.2069	30	5	3	27	19
PB.1192.2073	24	9	2	21	17
PB.1192.2096	8	4	1	35	9
PB.1192.2100	6	2	1	24	8
PB.1192.2102	11	11	5	29	63
PB.1192.2110	23	19	7	50	29
PB.1192.2116	10	3	4	8	4
PB.1192.2132	2	1	1	1	2
PB.1192.2144	3	4	2	3	3
PB.1192.2148	18	9	6	40	5
PB.1194.1	43	6	2	10	11
PB.1224.16	95	18	9	28	4
PB.1225.29	4	3	2	3	1
PB.1225.48	3	1	1	2	1
PB.1232.9	136	30	34	80	54
PB.1238.1	3	1	1	5	2
PB.1238.5	11	2	2	1	2
PB.1238.36	5	1	4	4	5
PB.1238.53	6	2	2	1	3
PB.1238.107	12	5	7	9	1
PB.1238.116	16	6	6	12	5
PB.1238.122	17	11	3	4	2
PB.1238.144	91	39	43	68	33
PB.1238.158	8	2	1	8	1
PB.1238.175	13	4	5	17	5
PB.1238.203	20	6	7	14	6
PB.1238.204	131	46	44	155	104
PB.1238.208	58	25	13	45	58
PB.1238.211	8	2	1	2	3
PB.1238.220	7	7	6	5	4
PB.1238.229	23	16	3	13	12
PB.1238.241	17	3	2	1	1
PB.1238.262	17	4	3	7	18
PB.1238.296	50	15	14	29	31
PB.1238.314	156	45	54	102	148
PB.1238.315	55	7	11	19	21
PB.1238.317	19	2	6	7	9
PB.1238.318	26	4	6	9	5
PB.1238.319	223	95	57	209	261
PB.1238.321	139	37	42	121	147
PB.1238.324	40	12	3	15	6
PB.1238.325	9	1	6	6	7
PB.1238.327	10	5	6	7	14
PB.1238.328	75	26	14	48	60
PB.1238.330	4	1	1	5	5
PB.1238.333	17	9	8	21	12
PB.1238.345	36	22	11	30	22
PB.1238.351	8	2	2	1	1
PB.1238.353	12	5	1	22	14
PB.1238.366	6	3	1	3	2
PB.1238.381	1	2	1	1	1
PB.1238.418	50	18	28	31	95
PB.1238.435	1	1	1	2	1
PB.1238.552	1	2	2	5	3
PB.1238.575	7	1	2	11	4
PB.1238.584	2	4	1	1	3
PB.1238.592	6	3	1	2	1
PB.1238.720	5	2	1	3	6
PB.1238.738	98	67	51	122	80
PB.1238.739	191	99	114	283	300
PB.1238.740	6	2	1	2	1
PB.1238.741	162	49	41	43	27
PB.1238.743	26	12	12	64	39
PB.1238.746	20	2	3	16	12
PB.1238.748	6	1	2	4	2
PB.1238.751	9	1	2	3	7
PB.1238.853	2	3	1	1	5
PB.1238.953	1	1	1	2	1
PB.1238.955	3	6	5	3	3
PB.1238.960	9	8	5	12	6
PB.1238.972	3	3	1	1	5
PB.1238.976	39	27	12	35	9
PB.1239.1	2	1	1	4	1
PB.1239.5	7	2	1	1	1
PB.1242.8	8	2	1	2	4
PB.1242.82	17	9	6	14	3
PB.1242.84	21	18	11	55	15
PB.1242.99	10	2	3	5	1
PB.1242.143	3	4	3	4	2
PB.1242.144	10	1	1	6	3
PB.1242.157	4	2	1	1	4
PB.1242.173	9	6	3	6	1
PB.1242.208	10	3	1	5	1
PB.1242.210	4	1	1	1	2
PB.1242.227	37	17	17	41	68
PB.1242.237	45	7	17	16	16
PB.1242.238	34	5	6	14	18
PB.1242.239	21	5	3	24	5
PB.1242.244	7	3	1	8	5
PB.1242.246	12	2	8	55	25
PB.1242.247	7	1	4	4	2
PB.1242.257	22	10	1	7	10
PB.1242.259	7	2	2	8	2
PB.1242.300	19	8	2	53	14
PB.1242.303	29	6	2	70	15
PB.1242.326	2	2	4	12	17
PB.1242.338	28	17	12	32	13
PB.1242.357	3	1	2	3	2
PB.1242.445	17	4	8	41	36
PB.1242.457	3	2	4	1	4
PB.1242.461	2	1	1	1	1
PB.1242.468	4	3	2	1	2
PB.1242.477	8	5	3	11	6
PB.1242.483	21	7	16	24	40
PB.1242.484	29	3	3	10	6
PB.1242.486	7	1	2	2	3
PB.1242.491	1	1	1	3	1
PB.1244.2	16	2	1	4	1
PB.1244.4	14	1	1	6	3
PB.1244.13	86	28	19	126	68
PB.1244.93	77	12	3	38	27
PB.1244.94	12	2	4	6	6
PB.1244.95	22	5	2	4	11
PB.1244.101	27	3	1	1	1
PB.1244.102	8	1	1	1	1
PB.1244.121	2	1	1	2	1
PB.1244.164	6	4	4	12	10
PB.1244.177	60	10	13	63	79
PB.1244.178	12	7	2	13	13
PB.1244.179	79	16	21	70	53
PB.1244.181	7	4	7	25	18
PB.1244.184	1	1	3	1	2
PB.1244.258	1	2	1	1	1
PB.1244.267	14	3	4	16	6
PB.1244.328	13	1	3	11	11
PB.1244.335	8	1	5	23	59
PB.1244.390	6	2	2	9	15
PB.1244.424	11	2	2	31	35
PB.1244.448	18	3	2	11	7
PB.1244.470	36	5	2	53	25
PB.1244.475	20	4	3	37	10
PB.1244.493	17	7	2	22	15
PB.1244.500	19	9	5	19	16
PB.1244.504	16	5	1	19	10
PB.1244.507	98	20	10	87	84
PB.1244.531	99	24	11	73	60
PB.1244.545	73	14	13	88	72
PB.1244.593	44	15	8	71	59
PB.1244.606	30	12	9	45	46
PB.1244.608	17	5	1	18	20
PB.1244.643	38	13	4	40	42
PB.1244.649	10	4	4	12	12
PB.1244.670	15	3	1	17	11
PB.1244.683	6	1	1	7	6
PB.1244.696	6	2	1	6	8
PB.1244.709	8	1	1	3	5
PB.1244.752	13	4	2	12	6
PB.1244.764	5	4	1	10	7
PB.1244.781	18	8	2	24	24
PB.1244.795	16	6	1	30	12
PB.1244.805	4	4	2	1	4
PB.1244.814	13	8	7	9	12
PB.1244.828	10	3	1	12	7
PB.1244.831	21	4	4	24	24
PB.1244.834	12	3	2	14	9
PB.1244.864	15	6	2	7	13
PB.1244.872	18	7	3	9	7
PB.1244.880	22	3	2	11	11
PB.1244.891	4	1	2	4	1
PB.1244.898	7	2	2	6	9
PB.1244.912	11	2	4	13	14
PB.1244.924	4	1	1	4	3
PB.1244.930	3	2	1	1	3
PB.1244.941	3	1	1	2	1
PB.1244.965	27	8	1	24	9
PB.1244.973	12	4	2	4	9
PB.1244.982	5	1	2	6	5
PB.1244.1014	7	2	1	2	1
PB.1244.1063	18	5	3	2	11
PB.1244.1069	23	6	3	7	8
PB.1244.1073	12	5	1	1	5
PB.1244.1098	15	2	1	7	3
PB.1244.1146	3	1	1	4	1
PB.1244.1161	17	4	1	18	13
PB.1244.1218	22	5	3	14	14
PB.1244.1239	34	1	3	13	8
PB.1244.1240	18	1	1	7	4
PB.1244.1243	117	23	19	43	36
PB.1244.1245	21	5	3	4	3
PB.1244.1246	20	1	1	12	2
PB.1244.1254	1	2	3	2	2
PB.1244.1283	9	9	3	9	6
PB.1244.1288	10	14	8	14	4
PB.1244.1340	7	2	2	5	8
PB.1244.1345	4	2	1	5	1
PB.1244.1356	1	4	1	6	4
PB.1244.1397	12	6	2	9	4
PB.1244.1425	22	8	5	23	13
PB.1244.1430	8	4	4	2	1
PB.1244.1432	10	2	3	17	15
PB.1244.1440	14	15	6	11	28
PB.1244.1448	26	16	2	28	20
PB.1244.1459	5	4	2	3	7
PB.1244.1464	13	3	5	25	3
